Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What Type of Surface is the Graffiti on?,Where is the Graffiti located?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location
09/16/2015,Completed,09/16/2015,15-04824515,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Alley,1618 N CALIFORNIA AVE,60647,1157446.13282534,1910637.10069125,1,14,24,,41.91080584441617,-87.6971595317246,"(41.91080584441617, -87.6971595317246)"
09/16/2015,Completed,09/16/2015,15-04824378,Graffiti Removal,Brick - Unpainted,Front,1444 N KOSTNER AVE,60651,1146779.84931908,1909192.88996954,37,25,23,,41.907493996494615,-87.73642230884806,"(41.907493996494615, -87.73642230884806)"
09/16/2015,Completed,09/16/2015,15-04825171,Graffiti Removal,Brick - Unpainted,Front,4634 S WESTERN AVE,60609,1161147.79091959,1873776.49002675,15,9,58,,41.80924046477483,-87.68460553826448,"(41.80924046477483, -87.68460553826448)"
09/16/2015,Completed,09/16/2015,15-04826678,Graffiti Removal,Metal - Painted,Pole,1153 W DIVERSEY PKWY,60614,1168121.7546288,1918744.93577714,43,19,7,35,41.932459142401946,-87.65798333494217,"(41.932459142401946, -87.65798333494217)"
09/16/2015,Completed,09/16/2015,15-04824674,Graffiti Removal,Brick - Painted,Front,10819 S WABASH AVE,60628,1178494.97782786,1833242.3906927,9,5,49,,41.69746990546552,-87.62190987325212,"(41.69746990546552, -87.62190987325212)"
09/16/2015,Completed,09/16/2015,15-04826624,Graffiti Removal,Brick - Unpainted,Overpass,1854 W DIVISION ST,60622,1163711.00000336,1908020.36127355,1,14,24,33,41.903341795159264,-87.67467421115533,"(41.903341795159264, -87.67467421115533)"
09/16/2015,Completed,09/16/2015,15-04826614,Graffiti Removal,Brick - Unpainted,Overpass,900 W GRAND AVE,60642,1170315.51990702,1903668.36242368,27,12,24,,41.89126586837015,-87.65000792371997,"(41.89126586837015, -87.65000792371997)"
09/16/2015,Completed,09/16/2015,15-04826666,Graffiti Removal,Metal - Painted,Pole,1120 W DIVERSEY PKWY,60614,1168341.80001559,1918751.74829018,44,19,6,,41.93269956978984,-87.65677274563694,"(41.93269956978984, -87.65677274563694)"
09/16/2015,Completed,09/16/2015,15-04826613,Graffiti Removal,Metal - Painted,Pole,1158 W DIVERSEY PKWY,60614,1168088.4546288,1918743.93577714,44,19,6,,41.93267568935382,-87.65815590412585,"(41.93267568935382, -87.65815590412585)"
09/16/2015,Completed,09/16/2015,15-04826602,Graffiti Removal,Brick - Unpainted,Overpass,400 N COLUMBUS DR,60611,1178333.0047937,1902797.03271954,42,18,8,,41.888647771265155,-87.62068421054106,"(41.888647771265155, -87.62068421054106)"
09/16/2015,Completed,09/16/2015,15-04826600,Graffiti Removal,Metal - Painted,Front,1158 W DIVERSEY PKWY,60614,1168088.4546288,1918743.93577714,44,19,6,,41.93267568935382,-87.65815590412585,"(41.93267568935382, -87.65815590412585)"
09/16/2015,Completed,09/16/2015,15-04826598,Graffiti Removal,Brick - Unpainted,Overpass,240 N WABASH AVE,60601,1176767.47999534,1901999.00997313,42,1,32,1,41.88663471951639,-87.62647296524231,"(41.88663471951639, -87.62647296524231)"
09/16/2015,Completed,09/16/2015,15-04825164,Graffiti Removal,Brick - Unpainted,Front,4338 S WESTERN AVE,60609,1161091.78957288,1875844.11212487,15,9,58,,41.814534454582265,-87.68474024385834,"(41.814534454582265, -87.68474024385834)"
09/16/2015,Completed,09/16/2015,15-04824541,Graffiti Removal,Brick - Unpainted,Front,5564 N LINCOLN AVE,60625,1157974.85171586,1936929.76927987,40,20,4,,41.98264135161229,-87.69452982700975,"(41.98264135161229, -87.69452982700975)"
09/16/2015,Completed,09/16/2015,15-04825146,Graffiti Removal,Brick - Unpainted,Front,4330 S WESTERN AVE,60609,1161090.28957288,1875897.41212487,15,9,58,,41.81475931574495,-87.684747686622,"(41.81475931574495, -87.684747686622)"
09/16/2015,Completed,09/16/2015,15-04825046,Graffiti Removal,Brick - Unpainted,Front,2159 S HALSTED ST,60608,1171367.62081471,1889799.64996677,11,12,31,,41.852689018701916,-87.64634965794215,"(41.852689018701916, -87.64634965794215)"
